Coordinates,Intro Number,Enactment Date,Enactment Year,Enactment Number,Category,Borough,New Name,Present Name,Limits,Zip Code,Introduced by Council Member(s),Biographical Information,Notes
POINT (-73.92603496699996 40.82766820200004),Int. No. 1188-A,12/17/2013,2013,2013/131,Intersection,Bronx,Rivera Avenue,,At the intersection of 161st Street and River Avenue,10451,Arroyo,"Mariano Rivera is known as The Great One, the Sandman, the Hammer of God, and Mo.  A five-time world champion playing with the New York Yankees from 1995 until 2013, he is considered the best closing pitcher in the history of baseball.  He is Major Leagu",
POINT (-73.93960660899995 40.83873919700005),Int. No. 1825,01/19/2020,2020,2020/026,Intersection,Manhattan,Carlos Alberto Martínez Way,,At the intersection of 165th Street and Audubon Avenue,10032,Rodriguez,"Carlos Alberto Martínez was born in Santo Domingo, Dominican Republic (DR). He moved to New York in 1961 and worked at a plastic factory as a mechanic and taxi driver. He endeavored to open his own car repair business and by 1977, his business had becom",
POINT (-73.89632103699995 40.86703461400003),Int. No. 388,07/09/2014,2014,2014/034,Intersection,Bronx,El Grito de Lares,,At the intersection of Kingsbridge Road and Morris Avenue,10468,Cabrera,"On September 23, 1868 between 600 to 1000 men, mostly Puerto Rican born and from the west of the Island, revolted for Independence from Spain. Most of the men who were arrested were innocent jíbaros whose only guilt was being passive victims of the poli",
POINT (-73.98830233099994 40.74923396500003),Int. No. 342-A,02/18/2003,2003,2003/014,Intersection,Manhattan,J.A. Lobbia Bike Lane,,the northwest corner bicycle traffic signal at the intersection of 6th Avenue and 33rd Street,10120,Quinn,"Julie Lobbia was a remarkable advocate and journalist, who reminded her readers of the original muckrakers; humanists who sought out the truth through their writing and reporting.  J.A.  Lobbia, as she was better known, through her Village Voice column",
POINT (-73.95859203999998 40.620598984000026),Int. No. 480-A,08/14/2022,2022,2022/081,Intersection,Brooklyn,Sarita Rein Way,,At the intersection of Avenue L and East 17th Street,11230,Vernikov,"Sarita Rein came to Brooklyn from Lima, Peru for a visit but decided to stay and met her husband Arnold. She graduated in the 1980's from Brooklyn College where they had a program supporting immigrants to achieve a college degree.   She continued her e",
POINT (-73.97935946199993 40.77682744900005),Int. No. 1613,06/24/2017,2017,2017/110,Intersection,Manhattan,Mrs. Ponsie B. Hillman Way,,At the northwest corner of Col Avenue and West 71st Street,10023,Rosenthal,"Ponsie B. Hillman was a retired teacher and former Assistant Treasurer of the United Federation of Teachers (UFT).  She was a lifetime member of Delta Sigma Theta Sorority, Inc., and the NAACP.  In 1963, she received a Teacher of the Year award for worki",
POINT (-74.00289458899994 40.61767345900006),Int. No. 1744,12/01/2017,2017,2017/237,Intersection,Brooklyn,Alberto Ingravallo Way,,At the northeast corner of Bay Ridge Parkway and 15th Avenue,11228,Gentile,lberto Ingravallo was born in Italy and later immigrated to the United States where he received his diploma as a mechanic at the Automotive High School of Brooklyn.  He later became a teacher at the Automotive High School in Brooklyn.  He also enlisted i,
POINT (-74.15037945599994 40.56424373300007),Int. No. 897,03/19/2023,2023,2023/044,Intersection,Staten Island,Josephine “Pat” Miller Street,,At the intersection of Fairfield Street and Corbin Avenue,10308,Borelli,"Josephine “Pat” Miller was an advocate for the disabled. In the early 1960's, she moved to a house in Great Kills, where her family remained for the rest of their lives. She was well known for her advocacy work, which started when she arrived on Stat",
POINT (-74.11011713899995 40.62988128000006),Int. No. 968,07/20/2024,2024,2024/081,Intersection,Staten Island,Santina Distefano Way,,At the intersection of Forest Avenue and Oakland Avenue,10310,Hanks,"Santina Distefano was a long time resident of Staten Island who founded and ran a popular bakery called Moretti Bakery in West Brighton. Her bakery business continues to be an anchor in the West Brighton community, and it was from here that she had a pos",
POINT (-73.88723307099997 40.84463674700004),Int. No. 2187,01/17/2021,2021,2021/014,Intersection,Bronx,Heidi Hynes Way,,At the intersection of East 178th Street and Mapes Avenue,10460,Salamanca,"Heidi Hynes graduated from Fordham University in the Bronx. She joined the Friars of Atonement's mission in Jamaica before returning to the Bronx. She participated in her community, in her parish, on the street, in civic organizations as a leader and adv",
POINT (-73.97402429699997 40.59682003900008),Int. No. 471-A,12/21/2004,2004,2004/063,Intersection,Brooklyn,Edward H. Alleva Sr. Corner,,the southest corner of the intersection of Avenue U and Lake Street,11223,"Recchia, Jr.","Edward H. Alleva Sr. served his Brooklyn community for over 50 years as the owner-operator of the Edward Alleva Travel and Insurance Agency, located at 282 Avenue U. During that time he became an integral part of the Gravesend Neighborhood. Mr. Alleva wa",
POINT (-73.91381844599994 40.74452695700006),Int. No. 992,12/26/2001,2001,2001/071,Intersection,Queens,John Downing Park,,existing park at 50th Street and 43rd Avenue,11377,"McCaffrey, Sabini, Wooten and O’Donovan","Portions of the following biographical information were drawn from the New York Post and the Irish Voice newspapers.   

John Downing, 40 years of age, was one of three firefighters who died and 50 others who were injured in a Father’s Day fire in Asto",
POINT (-73.73603197499995 40.73582296400008),Int. No.  1631,08/23/2019,2019,2019/158,Intersection,Queens,Bernard M. Aquilino Place,,At the southeast corner of Seward Avenue and 235th Street,11427,Grodenchik,"Bernard M. Aquilino was very active in the Rocky Hill Civic Association for over 40 years, and served as its president for over 25 years. He, along with State Senator Frank Padavan, successfully worked to prevent the City from closing P.S. 18. When the C",
POINT (-73.93858996899996 40.79988399600006),Int. No. 897,03/19/2023,2023,2023/044,Intersection,Manhattan,Matthew Rivera Way,,At the intersection of 119th Street and 3rd Avenue,10035,Ayala,"Matthew Rivera was the victim of gun violence on December 2, 2021 after an argument took place at a deli on East 119th Street.",
POINT (-73.82106001199998 40.81495101100006),Int. No. 1278,01/20/2024,2024,2024/041,Intersection,Bronx,Nicholas J. Binetti Way,,At the intersection of Harding Avenue and Huntington Avenue,10465,Velázquez,"Nicholas J. Binetti served in the United States Army during the Korean War. He then went on to serve with the NYPD for 41 years. While protecting the Manhattan District Attorney Frank S. Hogan, he and his partner were ambushed and severely wounded. He wa",
POINT (-74.19275983899996 40.55406501600004),Int. No. 1054,02/25/2016,2016,2016/023,Intersection,Staten Island,Joseph DeNicola Lane,,At the intersection of Nedra Lane and Arden Avenue,10312,Matteo,Joseph DeNicola exhibited severe allergies to several food items and was also diagnosed with severe asthma.  He required a Health Para during school days and often used a Nebulizer during attacks.  His allergies did not only cause reactions after he cons,
POINT (-74.15964699099999 40.54779700000006),Int. No. 1278,01/20/2024,2024,2024/041,Intersection,Staten Island,Firefighter Thomas J. Alioto Way,,At the intersection of Armstrong Avenue and Wilson Avenue,10308,Borelli,Thomas J. Alioto served over 25 years with the FDNY. He died of 9/11 related illness.,
POINT (-74.12371695699994 40.62098825100003),Int. No. 457,12/05/2006,2006,2006/050,Intersection,Staten Island,Vietnam Veterans Plaza,,Underneath the Martling Avenue sign at the Southeast Corner of Manor Road,10314,McMahon,"This street co-name is for the very proud Vietnam Veterans who feel that the men from Staten Island who served in the Vietnam War, making the ultimate sacrifice for their country, deserve to be so honored.",
POINT (-73.89569652999995 40.85979623900005),Int. No. 988,07/29/2018,2018,2018/139,Intersection,Bronx,Reverend Dr. Samuel G. Simpson Way,,At the northeast corner of 187th Street and Tiebout Avenue,10458,King and Torres,"Samuel Simpson was born in Jamaica, West Indies and later relocated to the United States in the early 1960s.  He was ordained at Evergreen Baptist Church in Brooklyn, N.Y., in 1963 and pastored Bronx Baptist Church for 45 years and Wake-Eden Community Ba",
POINT (-73.85129663799995 40.72252115900005),Int. No. 2187,01/17/2021,2021,2021/014,Intersection,Queens,Detective Jeffrey A. Lee Way,,At the southwest corner of Yellowstone Boulevard and Austin Street,11375,Koslowitz,"Detective Lee served with the NYPD for 25 years. He was assigned to the 112th Precinct Detective Squad and made hundreds of arrests, earning him promotions to Detective Investigator and Detective 2nd Grade. He died as a result of 9/11 related illness fol",
POINT (-73.87419408799997 40.762826446000076),Int. No. 897,03/19/2023,2023,2023/044,Intersection,Queens,Cecil K. Watkins Street,,At the intersection of 95th Street and Astoria Boulevard,11369,Moya,"Cecil K. Watkins was born in Harlem, New York. He discovered his passion for sports at an early age. He attended John Adams High School, where he earned varsity letters in basketball and baseball. After serving two years in the United States Army as a re",
POINT (-74.00924488599998 40.63062931400003),Int. No. 281-A,05/05/2004,2004,2004/008,Intersection,Brooklyn,Howie Zimmerman Corner,,the southwest corner of the intersection of 65th Street and Fort Hamilton Parkway,11219,Gentile,"Howard Zimmerman was a partner in the successful produce market known as “3 Guys From Brooklyn”, located at 65th Street and Fort Hamilton Parkway, a business that he partnered with his brother Scott and his longtime buddy, Phil Penta. It was a busine",
POINT (-73.95280408399998 40.80757233200006),Int. No. 988,07/29/2018,2018,2018/139,Intersection,Manhattan,Michael Lancaster Way,,At the northeast corner of 121st Street and St. Nicholas Avenue,10027,Perkins,"Michael Lancaster received recognition from the New York State Senate and the City Council for his community involvement and activism throughout his life.  He was the vice president and treasurer of 5 Star Gardens, a voting member of Manhattan Land trust",
POINT (-73.75168517899994 40.69456646300006),Int. No. 1188-A,12/17/2013,2013,2013/131,Intersection,Queens,Reverend Lucile C. Hill Way,,At the intersection of 201st Street and Linden Boulevard,11412,Comrie,"Rev. Lucile Chambers Hill was born in Chester, Pennsylvania.  She was ordained a Full Elder in the United Methodist Church (UMC) in 2007.  Rev. Hill faithfully served Long Island People’s UMC as a Provisionary Member from 2004 through 2008 and Epworth",
POINT (-73.91180500999997 40.69755399200005),Int. No. 988,07/29/2018,2018,2018/139,Intersection,Brooklyn,Specialist Rasheed Sahib Way,,At the intersection of Woodbine Street and Irving Avenue,11237,"Espinal, Jr.","Rasheed Sahib was born in Berbice, Guyana.  He later moved Brooklyn, New York in 1988.  After finishing high school, he found his true calling and decided to become an FBI Agent so he enlisted in the United States Army in 2000.  He was assigned to the 20",
POINT (-73.92090373399998 40.86985653900007),Int. No. 849,08/10/2015,2015,2015/076,Intersection,Manhattan,Matty Alou Way,,At the intersection of Isham Street and Seaman Avenue,10034,Rodriguez,Matty Alou was among the most successful and first Dominican Americans in Major League Baseball.  He played for six major league baseball teams. He entered the big-league at the end of the 1906 season with the Giants and was later traded to Pittsburgh. T,
POINT (-74.16896599099994 40.54009700700004),Int. No. 1103-A,12/28/2009,2009,2009/092,Intersection,Staten Island,Dr. Jitendra Sukhadia Crossing,,At the intersection of Amboy Road and Arden Avenue,10312,Ignizio,"Dr. Jitendra Sukhadia was one of Staten Island’s most beloved pediatricians serving an estimated 10,000 patients and was considered a “man of vision and principal.”  His community services included raising funds for the Share and Care Foundation, t",
POINT (-73.93366987499996 40.637141745000065),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Brooklyn,Marie Andrée Bichotte Way,,At the intersection of East 45th Street and Farragut Road,11203,Louis,"Marie Andrée Bichotte was a devoted mother and grandmother. She was born in Croix-des-Bouquets, Haiti. She worked as a tailor who quickly gained fame for her beautiful wedding and funeral attires, as well as for the tablecloths and curtains she would se",
POINT (-74.11229703299995 40.58304101700003),Int. No. 1103-A,12/28/2009,2009,2009/092,Intersection,Staten Island,Eugene S. Devlin III Way,,At the intersection of Todt Hill Road and Flagg Place,10304,Oddo,"courage for more than 30 years.”  He was a lifelong resident of Staten Island who served in the United States Army from 1967 to 1969, stationed in Bremerhaven, Germany as an MP.  He served for another 20 years as an Army Reserve.  Chief Devlin was a m",
POINT (-73.94805850199998 40.58175222700004),Int. No. 988,07/29/2018,2018,2018/139,Intersection,Brooklyn,Rabbi Dr. Eli B. Greenwald Way,,At the intersection of Ocean Avenue and Shore Boulevard,11235,Deutsch,"Rabbi Dr. Eli B. Greenwald was an active member of his community offering familes comfort and guidance for over 50 years as a spiritual leader of Ohel David and Shlomo Synagogue.  He was an active member of Community Board 15, served as a Chaplin to Cone",
POINT (-73.81730902699996 40.75179999300008),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Queens,Sarah Whiting Way,,At the intersection of Holly Avenue and Robinson Street,11355,Koo,"Sarah Washington Whiting, aka Sarah M. Whiting, was a long term resident of Flushing, Queens, and community leader. She was an active member of the Flushing Chapter of the NAACP, the Holly Civic Association, the 109th Community Council, the PS24Q Mother",
POINT (-73.91594357499997 40.742655428000035),Int. No. 935,10/02/2012,2012,2012/048,Intersection,Queens,Alejandro Nino Place,,At the intersection of 49th Street and Queens Boulevard,11377,Van Bramer,"Alejandro Nino was a member of the City Volunteer Corps and also served as a full time volunteer.  He was also a therapy aide at Coler Memorial Hospital, providing care and attention to developmentally challenged residents, a teacher’s aide at the Cora",
POINT (-73.99325607099996 40.57572161500008),Int. No. 849,08/10/2015,2015,2015/076,Intersection,Brooklyn,Father Connie Mobley Boulevard,,At the intersection of Mermaid Avenue and West 27th Street,11224,Treyger,"Father Connie Mobley was drafted into the United States Army during World War II and served with distinction.  He was honorably discharged in 1946 and received the European African Middle Eastern Service Medal with two Bronze stars, an American Service M",
POINT (-73.83131300699995 40.76328755900005),Int. No. 388,07/09/2014,2014,2014/034,Intersection,Queens,Daniel Carter Beard Memorial Square,,At the intersection of Farrington Street and Northern Boulevard,11354,Koo,"Daniel Carter Beard was an American illustrator, author, youth leader, and social reformer who founded the Sons of Daniel Boone in 1905 and the Boy Scouts of America.  He attended art school in New York City and wrote a series of articles for St. Nichola",
POINT (-73.98126852399997 40.575444564000065),Int. No. 1227,08/03/2016,2016,2016/092,Intersection,Brooklyn,Nathan and Ida Handwerker Way,,At the southwest corner of Surf Avenue and Stillwell Avenue,11224,Treyger,"Nathan Handwerker (June 14, 1892 – March 24, 1974) emigrated from Poland in 1912 to New York.  He worked in the restaurant business at Feltman’s German Gardens for four years and later opened his own restaurant, Nathan’s Famous in 1916.  Ida Handwe",
POINT (-73.90238229599998 40.61747928400007),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Brooklyn,Patrick Solomita Way,,At the intersection of Avenue W and East 73rd Street,11234,Maisel,"Patrick Solomita was born in Brooklyn and served in the United States Army from 1953-1955 during the Korean War. Upon returning home, he continued to serve the community as a member of the New York City Police Department. He served in rankings of Detecti",
POINT (-73.91467050399996 40.74901943400005),Int. No. 988,07/29/2018,2018,2018/139,Intersection,Queens,Alexander M. Bing Place,,At the intersection of 49th Street and 39th Avenue,11377,Van Bramer,"Alexander M. Bing founded Bing and Bing with his brother Leo, one of New York City’s most important real estate developers in the early 20th century.  He was also a member of the Regional Planning Association of America, president and chef financer o",
POINT (-74.08451798099998 40.64819401200003),Int. No. 1033,07/17/2009,2009,2009/046,Intersection,Staten Island,Lisa Moudatsos Way,,At the intersection of St. Peter’s Place and Richmond Terrace,10301,Mitchell,Lisa Moudatsos was a lifelong Staten Islander who worked as a second-grade teacher for 12 years at St. Peter's Elementary School until she was appointed principal in 2000.  She was praised for her caring and selflessness and her capacity for working with,
POINT (-73.96729647799998 40.70699641500005),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Brooklyn,Elisa Torres Way,,At the intersection of Division Avenue and Wythe Avenue,11249,Levin,"Elisa Torres is the founder of the Roberto Clemente ball-field park and Little League, in additional to many more community programs. She was a determined community leader and a compassionate woman who dedicated her life to her family and public service.",
POINT (-73.88346420299996 40.74990796800006),Int. No. 590-A,07/11/2011,2011,2011/047,Intersection,Queens,Richard Cecere Corner,,At the northwest corner of 37th Avenue and 83rd Street,11372,Dromm,"Richard Cecere was a very active member of his community.  He served as chairperson of Community Board 3, was a member and former board member of the John F. Kennedy Democratic Club, former president of the New Visions Democratic Club and also served on",
POINT (-74.00979499099998 40.61802370100003),Int. No. 935,10/02/2012,2012,2012/048,Intersection,Brooklyn,Andrew Torregrossa Jr. Way,,At the intersection of 13th Avenue and 79th Street,11228,Gentile,Andrew Torregrossa Jr. was born and raised in Brooklyn attending New Utrecht High School and continued his education at St. John’s University School of Commerce and St. John’s University School of Law.  He served with the 101st Airborne Division and,
POINT (-74.12491687699998 40.569037682000044),Int. No. 613,05/09/2005,2005,2005/043,Intersection,Staten Island,Maria Y. Sollitto Boulevard,,NW corner of Amboy Road and Tysens Lane,10306,Oddo,"Maria Sollitto was dedicated to her family and also gave of her time to the Staten Island Region of the American Cancer Society, the Staten Island Federation of PTA’s, New Dorp High School, her church and community.  She was a tireless volunteer for th",
POINT (-73.86575399599997 40.854464015000076),Int. No. 931-A,04/20/2009,2009,2009/025,Intersection,Bronx,Mother Teresa Way,,At the intersection of Lydig Avenue and Holland Avenue,10462,Vacca,"Mother Teresa was one of the leading humanitarian figures of the 20th Century.  She settled in India and spent over 45 years ministering to the poor, sick, orphaned and dying through the Missionaries of Charity, an organization she founded.  She was awar",
POINT (-73.92428306599999 40.80720148800003),Int. No. 1188-A,12/17/2013,2013,2013/131,Intersection,Bronx,Private First Class Carlos James Lozada Place,,At the intersection of Willis Avenue and East 135th Street,10454,Arroyo,"Carlos James Lozada was born in Puerto Rico and later settled in the Bronx.  He joined the United States Army and was sent to Vietnam and assigned to Co. A, 2nd Battalion, 503 Infantry, 173rd Airborne Brigade in 1967.  He was posthumously awarded the Med",
POINT (-73.93622954099999 40.81491062100008),Int. No. 1188-A,12/17/2013,2013,2013/131,Intersection,Manhattan,Dr. Billy Taylor Way,,At the southeast corner of 138th Street and Fifth Avenue,10037,Dickens,"Billy Taylor was pianist, composer, arranger, conductor, lecturer and author.  He earned a doctorate in music education from the University of Massachusetts in 1975 and later had a higher profile on television than any other jazz musician of his generati",
POINT (-73.78620135299997 40.84646885800004),Int. No. 897,03/19/2023,2023,2023/044,Intersection,Bronx,Richard DePierro Way,,At the intersection of Hawkins Street and City Island Avenue,10464,Velázquez,"Richard DePierro was a sweet, genuine, and welcoming man who brought a joie de vivre to City Island.  As a neighbor, he was always there to lend a helping hand.  As a business owner, his name became synonymous to some of the most well-known establishment",
POINT (-73.96285105199996 40.688531762000025),Int. No.  1631,08/23/2019,2019,2019/158,Intersection,Brooklyn,Randy Weston Way,,At the intersection of Lafayette Avenue and Grand Avenue,11238,Cumbo,"Randy Weston was an American jazz pianist and composer who was born in Brooklyn and studied classical piano throughout his childhood. He released his debut album, Cole Porter in a Modern Mood, in 1954 followed by numerous recordings throughout his musica",
POINT (-73.86563801099999 40.82098693000006),Int. No. 480-A,08/14/2022,2022,2022/081,Intersection,Bronx,Marie Reed Way,,At the intersection of Lafayette Avenue and Soundview Avenue,10473,Farías,"Marie Reed was very active with the Soundview Presbyterian Church and James Monroe houses for over 40 years. With the church, she served on the Christian Education Committee, the Soundview Presbyterian Women Gills Committee, the Scholarship Committee and",
POINT (-73.95386799899995 40.74340798900005),Int. No. 1300,01/20/2019,2019,2019/024,Intersection,Queens,Terri Mona Adams Way,,At the intersection of 49th Avenue and Vernon Boulevard,11101,Van Bramer,"Terri Mona Adams was a lifelong Hunters Point resident and civic leader who served as president of the Hunters Point Community Development Corp. (HPCDC), a merchant group established in 1952.  She was also a member of Community Board 2.  She retired from",
POINT (-73.75125736599995 40.59512903500007),Int. No. 2187,01/17/2021,2021,2021/014,Intersection,Queens,Antoinette Ali-Sanders Way,,At the intersection of Beach 17th Street and Seagirt Boulevard,11691,Richards,"Antoinette Ali-Sanders was a 3rd generation college graduate. She worked to improve the society as a community developer, organizer, and scholastically trained as a Landscape Architect, with a minor in Civil Engineering. She was one of the first Black wo",
POINT (-73.94731569799995 40.67415801200008),Int. No. 897,03/19/2023,2023,2023/044,Intersection,Brooklyn,Kevin Alves Way,,At the intersection of New York Avenue and Prospect Place,11213,Ossé,Kevin Alves was the victim of gun violence in a building lobby. He was a mentor to youth and provided financial assistance to children by buying school supplies and haircuts before they went back to school.,
POINT (-74.07738271799997 40.62771139800003),Int. No. 1045-A,07/01/2013,2013,2013/050,Intersection,Staten Island,Eden II Lane,,Underneath the Beach Street sign at the intersection of Beach Street and Union Place,10304,Rose,Approximately 1% of children in the United States are born with some form of autism. The Eden II School for Autistic Children (DBA Eden II Programs) provide children and adults with autism specialized community-based programs and opportunities. Eden II P,
POINT (-73.90681701399996 40.85181902800008),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Bronx,PFC Buford Brown Way,,At the intersection of East 179th Street and Morris Avenue,10453,Cabrera,"Buford Brown was born in Georgia in 1924, served in the United States Army during World War II and on active duty from October 1945 until Decembber 1946 at Lubbock Army Air Field.  Pvt. First Class Buford Brown qualified as a Carbine Sharpshooter, trans",
POINT (-73.89899536699994 40.668744279000066),Int. No. 620,02/05/2015,2015,2015/015,Intersection,Brooklyn,Rev. Wenceslao Martinez  Way,,At the SW corner of Williams Avenue and Sutter Avenue,11207,Barron,"Wenceslao Martinez was employed at Dollcraft Company where he designed stuffed animals. He later started a small business with his own creations of stuffed animals and employed hundreds of people in his community, allowing him to make a positive influenc",
POINT (-74.12168166299995 40.63209800300007),Int. No.  1631,08/23/2019,2019,2019/158,Intersection,Staten Island,"William A. Morris, Jr. Way",,At the northeast corner of Cary Avenue and Roe Street,10310,Rose,"William A. Morris, Jr. served in WWII in both Europe and the Pacific and participated in the D-Day invasion of Normandy and the Battle of the Bulge. He has been honored multiple times for his service. The P.S. 19 park in West Brighton was named for him i",
POINT (-73.86583798299995 40.73664299700005),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Queens,Barbara Jackson Way,,At the intersection of Junction Boulevard and 57th Avenue,11368,Moya,"Barbara Jean Jackson is a well-known and recognized Community Leader and presently the Democratic District Leader of the 35th Assembly District, Part “B”. Upon becoming a Democratic District Leader, Barbara along with many other members of the Commun",
POINT (-73.99080553699997 40.60844698400007),Int. No. 388,07/09/2014,2014,2014/034,Intersection,Brooklyn,Angelo “Chubby” Campanella Way,,At the northwest corner of 77th Street and 21st Avenue,11214,Greenfield,Angelo Campanella served in the United States Army for 2 years during WWII.  He later became a celebrated ice cream vendor and a mainstay of the Bensonhurst community and served generations of Brooklynites over the course of 50 years.  He served as the e,
POINT (-74.03242353099995 40.61113771500004),Int. No. 1300,01/20/2019,2019,2019/024,Intersection,Brooklyn,Lawrence “Larry” Morrish Way,,At the southeast corner of 101st Street and Fort Hamilton Parkway,11209,Brannan,"Larry Morrish founded the Bay Ridge Ambulance Volunteer Organization in 1974, which is now the state’s largest volunteer service.  He founded the Saint Patrick’s Day Parade in the 1990’s and the Bay Ridge Unity Task Force to promote interfaith peac",
POINT (-73.97996170199997 40.71752401300006),Int. No. 1278,01/20/2024,2024,2024/041,Intersection,Manhattan,Raphael Sadonte Ward Jr. Way,,At the intersection of Columbia Street and Rivington Street,10002,Rivera,"Raphael Sadonte Ward Jr. was shot and killed while on his way to Makabely’s Pizzeria. His mother founded The Sadonte Foundation dedicated to educating the youth about gun violence by hosting annual awareness events, rewarding college scholarships and f",
POINT (-73.93880798199996 40.68682301800004),Int. No. 897,03/19/2023,2023,2023/044,Intersection,Brooklyn,"Firefighter, SGT USA Reservist Shawn E. Powell Way",,At the intersection of Monroe Street and Marcus Garvey Boulevard,11221,Ossé,Shawn E. Powell was a firefighter and a United States Army Reservist. He was killed in the 9/11 attacks at the World Trade Center.,
POINT (-73.99087845999998 40.60011306300004),Int. No. 590-A,07/11/2011,2011,2011/047,Intersection,Brooklyn,Anthony Neglia Way,,At the intersection of Bay 34th Street and 86th Street,11214,"Recchia, Jr.","Anthony Neglia was a leader with the 86th Street-Bensonhurst Community Merchants working with stores, the City of New York and industries to make this shopping district thrive.  He started the 86th Street Festival, worked with the Kiwanis Club as well as",
POINT (-73.90724994899995 40.81283433800007),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Bronx,Israel Martinez Way,,At the southeast corner of 149th Street and Wales Avenue,10455,Ayala,"Israel Martinez was born in Arecibo, Puerto Rico. His first travels to the Bronx were in 1954 and lived there for many years before returning to Puerto Rico where in 1960, he graduated from the Mizpah Bible Institute, a theological school which trained a",
POINT (-74.07254628599998 40.58914180900007),Int. No. 1054,02/25/2016,2016,2016/023,Intersection,Staten Island,Connor and Breandon Moore Way,,At the intersection of McLaughlin Street and Quincy Avenue,10305,Matteo,"Breandon (2 years-old) and Connor (4 years-old) Moore were swept away from their mother when their SUV was swamped by a tidal surge that overwhelmed the vehicle at the height of Superstorm Sandy.  After their Staten Island home lost power, Glenda Moore a",
POINT (-74.15853999299998 40.56054101400008),Int. No. 428-A,12/20/2010,2010,2011/003,Intersection,Staten Island,Rafael Vega Way,,At the intersection of Colon Avenue and Gurley Avenue,10308,Ignizio,"Rafael Vega was born in Puerto Rico, moved to Brooklyn in 1953 and then to Staten Island in 1967.  In the 1970’s, he became Assistant Principal of PS 1 in Brooklyn until he retired in 1985.  He wrote poetry and taught music history classes at Brooklyn",
POINT (-73.91560265599998 40.88850578600005),Int. No. 480-A,08/14/2022,2022,2022/081,Intersection,Bronx,Bill Stone Way,,At the intersection of Hudson Terrace and West 237th Street,10463,Dinowitz,"Bill Stone served in the U.S. Army during the Korean War and was honorably discharged, having attained the rank of Staff Sergeant and earned a Bronze Star. He joined the Riverdale Jewish Center and was a member for over 50 years. He also became intereste",
POINT (-74.20279888199997 40.531037637000054),Int. No. 1054,02/25/2016,2016,2016/023,Intersection,Staten Island,"Anthony Manifold Way, WWII Hero, MIA",,At the intersection of Bradford Avenue and Foster Road,10309,Matteo,"Anthony Manifold was a Gunner’s Mate, 3rd Class PO3 in the United States Naval Reserve.  He was killed in the line of duty when the vessel he was serving on, the SS Louisiana was torpedoed off the coast of French Guiana by a Nazi Submarine.  He receive",
POINT (-74.16455828299996 40.61618217600005),Int. No. 457,12/05/2006,2006,2006/050,Intersection,Staten Island,Karl Feldman Way,,On the Corner of Longdale Street and Lamberts Lane,10314,Oddo,"Karl Feldman was a leader and motivator and endured numerous obstacles. He was an Ewings Sarcoma patient for 6 ½ years enduring non-stop chemotherapy, hundreds of rounds of radiation treatment and 9 surgeries. He inspired other patients to continue trea",
POINT (-74.10447034699996 40.615935516000036),Int. No. 556-A,06/14/2007,2007,2007/028,Intersection,Staten Island,Robert A. Breen Way,,Underneath Seneca Avenue street sign at the southeast corner of Victory Boulevard,10301,McMahon,Robert Breen was a junior honor student at Msgr. Farrell High School on Staten Island and an all-star member of its cross country and track teams who died after being struck by a car while on a run. Robert had an academic average in the mid – 90’s an,
POINT (-74.01785016699995 40.62942168600006),Int. No. 281-A,05/05/2004,2004,2004/008,Intersection,Brooklyn,Det. Frank P. Collins Avenue,,the intersection of 72nd Street and 7th Avenue,11209,Gentile,"Born on December 9,1973, raised in New York City, Frank Collins could only be described as self-sacrificing.  After attending Kingsborough Community College, he enlisted in the United States Army.  Frank enlisted in the United States Army Reserve where h",
POINT (-73.91712030999997 40.698107106000066),Int. No. 1825,01/19/2020,2020,2020/026,Intersection,Brooklyn,Detective Joseph Taylor Way,,At the southwest corner of Menahan Street and Knickerbocker Avenue,11237,"Espinal, Jr.",Detective Joseph D. Taylor served with the New York City Police Department for nine years and was assigned to the 83rd Precinct. He was killed in the line of duty when he and another officer responded to a call of a man with a firearm inside an apartment,
POINT (-73.93022047099998 40.85431609300008),Int. No. 428-A,12/20/2010,2010,2011/003,Intersection,Manhattan,Merlin German Way,,At the southwest corner of West 189th Street and St. Nicholas Avenue,10040,Rodriguez,"Merlin German was born and raised in Washington Heights.  Merlin German enlisted in the Marine Corps in September 2003.  He received a promotion to Private First Class out of boot camp and in April 2004, was transferred to the 5th Battalion, 11th Mar",
POINT (-74.00300330199997 40.68438933300007),Int. No. 1227,08/03/2016,2016,2016/092,Intersection,Brooklyn,Jose “Tuffy” Sanchez Corner,,At the intersection of Union Street and Columbia Street,11231,Lander,"Jose “Tuffy” Sanchez was born in Brooklyn, New York.  His father founded the Antioch Pentecostal Church on 201 Atlantic Avenue in 1933.  At the age of seventeen, he joined the United States Army and served in the Korean War.  He was wounded in",
POINT (-74.07818914099994 40.635361620000026),Int. No. 2477,01/15/2022,2024,2022/054,Intersection,Staten Island,Detective Rodney J. Andrews Way,,At the southeast corner of St. Paul’s Avenue and Hannah Street,10301,Rose,Detective Rodney J. Andrews was killed in the line of duty during an undercover gun buy operation.,
